bad_right,bad
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1162,13138,8582,3254,-332,423
570,13676,6656,2999,-664,206
462,14522,5932,2951,-595,82
774,13332,4252,2896,-1263,137
-818,12390,4916,3364,-1154,354
398,12560,1676,2972,-1541,250
2148,11314,3346,3001,-1087,159
-1038,10270,4974,4205,-799,771
-4344,13026,1130,4785,-1565,1311
52,14408,5506,4212,-2204,1263
44,16524,3090,4827,-1698,1499
-3006,15736,1028,3898,-1314,2232
-3448,14140,3134,3613,-2700,2803
254,12754,5500,4610,-622,3231
3126,14944,-1106,3163,-2170,3061
362,15942,1050,3579,-18,3565
2062,15786,2890,3581,746,3596
2922,14984,4072,2540,-378,3511
1006,12994,1320,2586,-800,4840
3998,13664,-764,2502,-1720,4830
7252,15058,1898,1472,-562,4153
4098,14048,1816,492,-137,4079
-186,6072,1966,858,2003,4995
-1082,4798,-1800,750,2154,4465
-1504,5478,984,1402,578,2936
2346,3036,4376,1515,1469,2663
3030,-1968,598,-197,2458,2871
7714,-3448,-3242,1253,2778,2815
7796,-1284,1174,2212,3516,2539
7284,4832,-3102,1643,5101,3104
3146,4064,496,623,7084,3570
-3076,-1810,2066,542,6231,3749
-4714,-3102,-386,1231,3613,3974
-1696,-1532,3792,910,2965,3837
622,-2868,906,-412,943,3785
-520,-4162,2248,963,317,4384
-814,-126,-4044,1561,-352,5495
-1962,-2604,-1438,2497,-1357,6391
3474,92,2072,6314,-537,6803
-780,6298,1502,3281,-2502,4404
3388,11654,-32768,-2122,-2948,1932
23696,13380,-23690,4785,2719,2159
32767,32767,-10454,-11357,19242,-2802
32767,32767,9416,-19611,25108,25700
-16382,32767,32767,-19574,5022,29334
986,12826,32767,9005,510,22566
12110,-9220,3086,-7869,-5212,8458
22254,906,-3944,-4888,5523,7522
-4584,-15318,19132,-6209,3930,6763
186,-9092,7068,-2328,-1981,5016
8678,-15144,3690,-5258,-1365,4000
17846,-16968,1270,-5538,-1230,2233
16466,-13566,12220,-2746,1868,1850
12196,-3262,8704,-1976,649,602
15518,-4446,6550,-4496,320,-152
14442,-5628,7044,-4020,664,739
14638,-1412,9724,-3469,1379,1698
13516,-4074,10816,-3496,1356,1165
12624,-3490,7454,-1999,251,714
14236,-2850,6718,-1045,1035,302
14460,-3946,6662,-1797,1101,-534
14358,-4924,8644,-788,727,-951
14198,-4392,7790,149,147,-865
15730,-4652,5760,69,490,-1414
16262,-3098,5054,-54,1180,-1521
14570,-4032,8272,55,907,-1556
14130,-4612,9580,1130,1311,-1414
15272,-2694,8908,1662,1604,-1564
16120,-1650,7672,1508,1591,-1844
15404,-958,7648,1136,1787,-1691
15214,196,9410,1043,2446,-1570
13424,-1260,11562,1218,2002,-1455
13992,-884,11346,1608,843,-1373
14832,3418,9020,1411,909,-1053
12600,1934,11614,697,1031,-622
8728,-4586,15698,1297,-747,-919
9946,-2560,13400,3091,-3761,-1068
10866,2034,7336,2116,-2228,-1235
9502,-2092,11090,2531,-1666,-1996
9144,-5214,15264,3711,-4935,-2334
13796,-2550,5118,4497,-4036,-1944
17342,2132,-1056,3096,-2264,-3140
17132,164,11866,3629,-4302,-4569
22580,1404,9972,4104,-4786,-4351
21714,3688,5554,3013,-2574,-3008
20146,5558,5626,2717,-1551,-2729
17022,4674,8280,2579,-1445,-3541
16068,3976,6706,3444,-2370,-3730
16618,5118,3746,4231,-2427,-3944
15732,6896,1306,3976,-2062,-4457
15760,7270,1070,3356,-2263,-4892
16676,6050,3392,3269,-2183,-5262
15044,5044,4258,3975,-1872,-5817
13580,7384,2046,3737,-1351,-5833
11824,8202,2930,3216,-1478,-5848
12122,7828,3336,3185,-2277,-6143
13316,8934,2058,2987,-2631,-6342
13992,9432,1772,2243,-1968,-6365
12972,9166,1214,1994,-1564,-6383
12592,9964,402,2295,-1203,-6095
12124,9416,1814,2218,-392,-5934
10726,10326,2882,2813,-291,-5756
9272,11346,1624,2974,-1089,-5310
6956,12500,-386,3143,-1881,-4826
5972,13318,-408,2436,-2441,-4651
7486,14178,1520,2115,-2206,-4067
9244,14178,2292,3079,-1594,-3842
9208,15400,-1012,3502,-1800,-3712
7294,14394,-540,3116,-2000,-3694
7068,13654,828,3542,-2311,-3773
7714,15596,-378,4013,-2818,-3512
8590,16060,-2232,3491,-2702,-3133
7306,14328,-1446,3114,-2488,-2840
5914,14458,-2718,4214,-2214,-2047
5040,16050,-5110,3988,-1643,-774
5110,15900,-2298,4579,-199,-105
7874,18210,-2494,5551,652,-110
9400,17174,-5846,5109,-758,-1072
8080,15898,-8518,4577,-1218,-1385
7688,15444,-7574,4038,-555,-862
8192,14620,-7684,3298,-606,-229
7486,14288,-8088,2773,-765,485
7524,14382,-7440,2890,-1059,910
8910,14434,-6890,2178,-741,1464
9102,14452,-6696,1587,-645,1521
8306,13516,-6472,1658,-847,1545
7274,13466,-7616,2017,-1029,1675
7666,14630,-9260,1531,-1145,1782
7850,13804,-7826,1045,-1033,1666
8070,13260,-8350,933,-1347,1622
8550,13446,-7870,926,-1229,1670
7844,14062,-6740,631,-1167,1584
7758,13516,-7226,777,-1262,1708
8106,14198,-7564,445,-1410,1724
7220,13592,-5612,212,-927,1570
8602,13386,-5370,74,-424,1411
8902,13630,-7308,-49,-1153,1156
7180,12370,-5476,-441,-1770,1227
6670,12510,-8280,306,-1703,863
6576,12786,-10060,-88,-1273,545
7674,11504,-8636,-560,-1190,152
6842,9854,-6938,-583,-1337,-412
4534,10108,-5158,91,-2439,-696
5372,12438,-9732,742,-2454,-443
6596,13372,-12354,-521,-476,-350
6590,14200,-12032,-1372,173,-840
6356,13950,-10846,-2296,11,-1330
6248,12104,-9062,-2593,-197,-1639
6000,12274,-8814,-2420,-677,-1986
6620,12964,-9732,-2117,-414,-2039
